jppfs_cor:DepositForSubscriptionsToSpecificSharesLIQ,特定出資申込証拠金、資産流動化業,Deposit for subscriptions to specific shares,Deposit for subscriptions to specific shares-LIQ
jppfs_cor:DepositForSubscriptionsToPreferredSharesLIQ,優先出資申込証拠金、資産流動化業,Deposit for subscriptions to preferred shares,Deposit for subscriptions to preferred shares-LIQ
jppfs_cor:DepositOrPaidInAdvanceForSubscriptionsToSpecificSharesLIQ,特定出資申込証拠金又は特定出資払込金、資産流動化業,Deposit or paid-in advance for subscriptions to specific shares,Deposit or paid-in advance for subscriptions to specific shares-LIQ
jppfs_cor:DepositOrPaidInAdvanceForSubscriptionsToPreferredSharesLIQ,優先出資申込証拠金又は優先出資払込金、資産流動化業,Deposit or paid-in advance for subscriptions to preferred shares,Deposit or paid-in advance for subscriptions to preferred shares-LIQ
jppfs_cor:SurplusLIQ,剰余金、資産流動化業,Surplus,Surplus-LIQ
jppfs_cor:VoluntaryRetainedEarnings,任意積立金,Voluntary retained earnings,Voluntary retained earnings
jppfs_cor:UnappropriatedRetainedEarningsUndisposedLossLIQ,当期未処分利益又は当期未処理損失（△）、資産流動化業,Unappropriated retained earnings (undisposed loss),Unappropriated retained earnings (undisposed loss)-LIQ
jppfs_cor:TreasurySpecificStockLIQ,自己特定出資、資産流動化業,Treasury specific shares,Treasury specific shares-LIQ
jppfs_cor:TreasuryPreferredStockLIQ,自己優先出資、資産流動化業,Treasury preferred shares,Treasury preferred shares-LIQ
jppfs_cor:ValuationAndTranslationAdjustments,評価・換算差額等,Valuation and translation adjustments,Valuation and translation adjustments
jppfs_cor:ValuationDifferenceOnAvailableForSaleSecurities,その他有価証券評価差額金,Valuation difference on available-for-sale securities,Valuation difference on available-for-sale securities
jppfs_cor:DeferredGainsOrLossesOnHedges,繰延ヘッジ損益,Deferred gains or losses on hedges,Deferred gains or losses on hedges
jppfs_cor:SubscriptionRightsToPreferredSharesLIQ,新優先出資引受権、資産流動化業,Subscription rights to preferred shares,Subscription rights to preferred shares-LIQ
