jppfs_cor:CurrentLiabilities,流動負債,Current liabilities,Current liabilities
jppfs_cor:Liabilities,負債,Liabilities,Liabilities
jppfs_cor:NetAssetsAbstract,純資産の部 [タイトル項目],Net assets,Net assets [abstract]
jppfs_cor:ValuationAndTranslationAdjustmentsAbstract,評価・換算差額等 [タイトル項目],Valuation and translation adjustments,Valuation and translation adjustments [abstract]
jppfs_cor:ValuationDifferenceOnAvailableForSaleSecurities,その他有価証券評価差額金,Valuation difference on available-for-sale securities,Valuation difference on available-for-sale securities
jppfs_cor:DeferredGainsOrLossesOnHedges,繰延ヘッジ損益,Deferred gains or losses on hedges,Deferred gains or losses on hedges
jppfs_cor:ValuationAndTranslationAdjustments,評価・換算差額等,Valuation and translation adjustments,Valuation and translation adjustments
jppfs_cor:OtherAssetsLiabilitiesDifferenceEDU,その他資産負債差額、学校法人,Other assets liabilities difference,Other assets liabilities difference-EDU
jppfs_cor:NonControllingInterests,非支配株主持分,Non-controlling interests,Non-controlling interests
jppfs_cor:NetAssets,純資産,Net assets,Net assets
jppfs_cor:LiabilitiesAndNetAssets,負債純資産,Liabilities and net assets,Liabilities and net assets
nan,,,
nan,,,
名前空間プレフィックス:要素名,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jppfs_cor:StatementOfIncomeAbstract,損益計算書 [タイトル項目],Statement of income,Statement of income [abstract]
jppfs_cor:StatementOfIncomeTable,損益計算書 [表],Statement of income,Statement of income [table]
jppfs_cor:StatementOfIncomeLineItems,損益計算書 [表示項目],Statement of income,Statement of income [line items]
jppfs_cor:OperatingIncomeAndLossAbstractEDU,事業損益（事業収益及び事業費用）、学校法人 [タイトル項目],Operating revenue and expenses,Operating revenue and expenses - EDU [abstract]
jppfs_cor:EducationAndResearchAndIncidentalOperatingIncomeAndLossAbstractEDU,教育研究・附属事業損益、学校法人 [タイトル項目],Education and research and incidental operating revenue and expenses,Education and research and incidental operating revenue and expenses - EDU [abstract]
jppfs_cor:EducationAndResearchAndIncidentalOperatingRevenueAbstractEDU,教育研究・附属事業収益、学校法人 [タイトル項目],Education and research and incidental operating revenue,Education and research and incidental operating revenue-EDU [abstract]
jppfs_cor:StudentFeesEDU,学生生徒等納付金、学校法人,Student fees,Student fees-EDU
jppfs_cor:ProcessingFeesEDU,手数料、学校法人,Processing fees,Processing fees-EDU
jppfs_cor:DonationsEDU,寄附金、学校法人,Donations,Donations-EDU
jppfs_cor:SubsidiesEDU,補助金、学校法人,Subsidies,Subsidies-EDU
jppfs_cor:OtherRevenueEducationResearchAndIncidentalEDU,その他、教育研究・附属事業収益、学校法人,Other,"Other-revenue-education, research and incidental-EDU"
jppfs_cor:EducationAndResearchAndIncidentalOperatingRevenueEDU,教育研究・附属事業収益、学校法人,Education and research and incidental operating revenue,Education and research and incidental operating revenue-EDU
jppfs_cor:EducationAndResearchAndIncidentalOperatingExpensesAbstractEDU,教育研究・附属事業費用、学校法人 [タイトル項目],Education and research and incidental operating expenses,Education and research and incidental operating expenses-EDU [abstract]
jppfs_cor:PersonalExpensesEDUEDU,人件費、学校法人,Personnel expenses,Personnel expenses-EDU
jppfs_cor:EducationAndResearchExpensesEDU,教育研究経費、学校法人,Education and research expenses,Education and research expenses-EDU
jppfs_cor:ManagementExpensesEDU,管理経費、学校法人,Management expenses,Management expenses-EDU
jppfs_cor:EducationAndResearchAndIncidentalOperatingExpensesEDU,教育研究・附属事業費用、学校法人,Education and research and incidental operating expenses,Education and research and incidental operating expenses-EDU
jppfs_cor:EducationAndResearchAndIncidentalOperatingIncomeEDU,教育研究・附属事業利益又は教育研究・附属事業損失（△）、学校法人,Education and research and incidental operating profit (loss),Education and research and incidental operating profit (loss) - EDU
jppfs_cor:ProfitEarningOperatingIncomeAndLossAbstractEDU,収益事業損益、学校法人 [タイトル項目],Profit-earning operating revenue and expenses,Profit-earning operating revenue and expenses - EDU [abstract]
jppfs_cor:ProfitEarningOperatingRevenueEDU,収益事業収益、学校法人,Profit-earning operating revenue,Profit-earning operating revenue-EDU
jppfs_cor:ProfitEarningOperatingExpensesEDU,収益事業費用、学校法人,Profit-earning operating expenses,Profit-earning operating expenses-EDU
jppfs_cor:ProfitEarningOperatingIncomeEDU,収益事業利益又は収益事業損失（△）、学校法人,Profit-earning operating profit (loss),Profit-earning operating profit (loss) - EDU
jppfs_cor:OperatingIncomeEDU,事業利益又は事業損失（△）、学校法人,Operating profit (loss),Operating profit (loss) - EDU
jppfs_cor:NonOperatingIncomeAbstractEDU,事業外収益、学校法人 [タイトル項目],Non-operating income,Non-operating income-EDU [abstract]
jppfs_cor:InterestAndDividendsIncomeNOI,受取利息及び配当金、営業外収益,Interest and dividend income,Interest and dividend income-NOI
jppfs_cor:OtherNOIEDU,その他、事業外収益、学校法人,Other,Other-NOI-EDU
jppfs_cor:NonOperatingIncomeEDU,事業外収益、学校法人,Non-operating income,Non-operating income-EDU
jppfs_cor:NonOperatingExpensesAbstractEDU,事業外費用、学校法人 [タイトル項目],Non-operating expenses,Non-operating expenses-EDU [abstract]
jppfs_cor:InterestExpensesNOE,支払利息、営業外費用,Interest expenses,Interest expenses-NOE
jppfs_cor:OtherNOEEDU,その他、事業外費用、学校法人,Other,Other-NOE-EDU
jppfs_cor:NonOperatingExpensesEDU,事業外費用、学校法人,Non-operating expenses,Non-operating expenses-EDU
jppfs_cor:OrdinaryIncome,経常利益又は経常損失（△）,Ordinary profit (loss),Ordinary profit (loss)
jppfs_cor:ExtraordinaryIncomeAbstract,特別利益 [タイトル項目],Extraordinary income,Extraordinary income [abstract]
jppfs_cor:GainOnSalesOfNoncurrentAssetsEI,固定資産売却益、特別利益,Gain on sales of non-current assets,Gain on sales of non-current assets-EI
jppfs_cor:OtherEI,その他、特別利益,Other,Other-EI
jppfs_cor:ExtraordinaryIncome,特別利益,Extraordinary income,Extraordinary income
jppfs_cor:ExtraordinaryLossAbstract,特別損失 [タイトル項目],Extraordinary losses,Extraordinary losses [abstract]
jppfs_cor:LossOnSalesOfNoncurrentAssetsEL,固定資産売却損、特別損失,Loss on sales of non-current assets,Loss on sales of non-current assets-EL
jppfs_cor:ImpairmentLossEL,減損損失、特別損失,Impairment loss,Impairment loss-EL
jppfs_cor:LossOnDisasterEL,災害による損失、特別損失,Loss on disaster,Loss on disaster-EL
jppfs_cor:OtherEL,その他、特別損失,Other,Other-EL
jppfs_cor:ExtraordinaryLoss,特別損失,Extraordinary losses,Extraordinary losses
jppfs_cor:IncomeBeforeIncomeTaxes,税引前当期純利益又は税引前当期純損失（△）,Profit (loss) before income taxes,Profit (loss) before income taxes
jppfs_cor:IncomeTaxes,法人税等,Income taxes,Income taxes
jppfs_cor:IncomeTaxesCurrent,法人税、住民税及び事業税,Income taxes - current,Income taxes-current
jppfs_cor:IncomeTaxesDeferred,法人税等調整額,Income taxes - deferred,Income taxes-deferred
jppfs_cor:ProfitLoss,当期純利益又は当期純損失（△）（平成26年3月28日財規等改正後）,Profit (loss),Profit (loss) (after amendment dated 2014-03-28)
jppfs_cor:ProfitAttributableToAbstract,内訳、当期純利益 [タイトル項目],Profit attributable to,Profit attributable to [abstract]
jppfs_cor:ProfitLossAttributableToNonControllingInterests,非支配株主に帰属する当期純利益又は非支配株主に帰属する当期純損失（△）,Profit (loss) attributable to non-controlling interests,Profit (loss) attributable to non-controlling interests
jppfs_cor:ProfitLossAttributableToOwnersOfParent,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）,Profit (loss) attributable to owners of parent,Profit (loss) attributable to owners of parent
nan,,,
nan,,,
名前空間プレフィックス:要素名,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jppfs_cor:StatementOfChangesInNetAssetsAbstract,純資産変動計算書 [タイトル項目],Statement of changes in net assets,Statement of changes in net assets [abstract]
jppfs_cor:StatementOfChangesInNetAssetsTable,純資産変動計算書 [表],Statement of changes in net assets,Statement of changes in net assets [table]
jppfs_cor:ComponentsOfEquityAxis,純資産の内訳項目 [軸],Components of equity,Components of equity [axis]
jppfs_cor:NetAssetsMember,純資産 [メンバー],Net assets,Net assets [member]
jppfs_cor:ValuationAndTranslationAdjustmentsMember,評価・換算差額等 [メンバー],Valuation and translation adjustments,Valuation and translation adjustments [member]
jppfs_cor:ValuationDifferenceOnAvailableForSaleSecuritiesMember,その他有価証券評価差額金 [メンバー],Valuation difference on available-for-sale securities,Valuation difference on available-for-sale securities [member]
jppfs_cor:DeferredGainsOrLossesOnHedgesMember,繰延ヘッジ損益 [メンバー],Deferred gains or losses on hedges,Deferred gains or losses on hedges [member]
jppfs_cor:OtherAssetsLiabilitiesDifferenceEDUMember,その他資産負債差額、学校法人 [メンバー],Other assets liabilities difference,Other assets liabilities difference-EDU [member]
jppfs_cor:NonControllingInterestsMember,非支配株主持分 [メンバー],Non-controlling interests,Non-controlling interests [member]
jppfs_cor:StatementOfChangesInNetAssetsLineItems,純資産変動計算書 [表示項目],Statement of changes in net assets,Statement of changes in net assets [line items]
jppfs_cor:NetAssets,純資産,Net assets,Net assets
jppfs_cor:ChangesOfItemsDuringThePeriodAbstract,当期変動額 [タイトル項目],Changes of items during period,Changes of items during period [abstract]
jppfs_cor:ProfitLossAttributableToOwnersOfParent,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）,Profit (loss) attributable to owners of parent,Profit (loss) attributable to owners of parent
jppfs_cor:ProfitLoss,当期純利益又は当期純損失（△）（平成26年3月28日財規等改正後）,Profit (loss),Profit (loss) (after amendment dated 2014-03-28)
jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,Total changes of items during period,Total changes of items during period
nan,,,
nan,,,
名前空間プレフィックス:要素名,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jppfs_cor:StatementOfCashFlowsAbstract,キャッシュ・フロー計算書 [タイトル項目],Statement of cash flows,Statement of cash flows [abstract]
jppfs_cor:StatementOfCashFlowsTable,キャッシュ・フロー計算書 [表],Statement of cash flows,Statement of cash flows [table]
jppfs_cor:StatementOfCashFlowsLineItems,キャッシュ・フロー計算書 [表示項目],Statement of cash flows,Statement of cash flows [line items]
