,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
96,jppfs_cor:NoncurrentLiabilities,固定負債,Non-current liabilities,Non-current liabilities
97,jppfs_cor:SpecificBondsPayableLIQ,特定社債、資産流動化業,Specific bonds payable,Specific bonds payable-LIQ
98,jppfs_cor:SpecificBorrowingsNCLLIQ,特定借入れ、固定負債、資産流動化業,Specific borrowings,Specific borrowings-NCL-LIQ
99,jppfs_cor:LongTermLoansPayable,長期借入金,Long-term loans payable,Long-term loans payable
100,jppfs_cor:SpecificLoansPayableNCLLIQ,特定目的借入れ、固定負債、資産流動化業,Specific loans payable,Specific loans payable-NCL-LIQ
101,jppfs_cor:ProvisionNCL,引当金、固定負債,Provision,Provision-NCL
102,jppfs_cor:ProvisionForSpecialRepairs,特別修繕引当金,Provision for special repairs,Provision for special repairs
103,jppfs_cor:DeferredTaxLiabilitiesNCL,繰延税金負債、固定負債,Deferred tax liabilities,Deferred tax liabilities-NCL
104,jppfs_cor:AssetRetirementObligationsNCL,資産除去債務、固定負債,Asset retirement obligations,Asset retirement obligations-NCL
105,jppfs_cor:Liabilities,負債,Liabilities,Liabilities
106,jppfs_cor:NetAssetsAbstract,純資産の部 [タイトル項目],Net assets,Net assets [abstract]
107,jppfs_cor:MembersEquityLIQ,社員資本、資産流動化業,Members' equity,Members' equity-LIQ
108,jppfs_cor:SpecificSharesLIQ,特定資本金、資産流動化業,Specific shares,Specific shares-LIQ
109,jppfs_cor:PreferredSharesLIQ,優先資本金、資産流動化業,Preferred shares,Preferred shares-LIQ
110,jppfs_cor:DepositForSubscriptionsToSpecificSharesLIQ,特定出資申込証拠金、資産流動化業,Deposit for subscriptions to specific shares,Deposit for subscriptions to specific shares-LIQ
111,jppfs_cor:DepositForSubscriptionsToPreferredSharesLIQ,優先出資申込証拠金、資産流動化業,Deposit for subscriptions to preferred shares,Deposit for subscriptions to preferred shares-LIQ
112,jppfs_cor:DepositOrPaidInAdvanceForSubscriptionsToSpecificSharesLIQ,特定出資申込証拠金又は特定出資払込金、資産流動化業,Deposit or paid-in advance for subscriptions to specific shares,Deposit or paid-in advance for subscriptions to specific shares-LIQ
113,jppfs_cor:DepositOrPaidInAdvanceForSubscriptionsToPreferredSharesLIQ,優先出資申込証拠金又は優先出資払込金、資産流動化業,Deposit or paid-in advance for subscriptions to preferred shares,Deposit or paid-in advance for subscriptions to preferred shares-LIQ
114,jppfs_cor:SurplusLIQ,剰余金、資産流動化業,Surplus,Surplus-LIQ
115,jppfs_cor:VoluntaryRetainedEarnings,任意積立金,Voluntary retained earnings,Voluntary retained earnings
116,jppfs_cor:UnappropriatedRetainedEarningsUndisposedLossLIQ,当期未処分利益又は当期未処理損失（△）、資産流動化業,Unappropriated retained earnings (undisposed loss),Unappropriated retained earnings (undisposed loss)-LIQ
117,jppfs_cor:TreasurySpecificStockLIQ,自己特定出資、資産流動化業,Treasury specific shares,Treasury specific shares-LIQ
118,jppfs_cor:TreasuryPreferredStockLIQ,自己優先出資、資産流動化業,Treasury preferred shares,Treasury preferred shares-LIQ
119,jppfs_cor:ValuationAndTranslationAdjustments,評価・換算差額等,Valuation and translation adjustments,Valuation and translation adjustments
120,jppfs_cor:ValuationDifferenceOnAvailableForSaleSecurities,その他有価証券評価差額金,Valuation difference on available-for-sale securities,Valuation difference on available-for-sale securities
121,jppfs_cor:DeferredGainsOrLossesOnHedges,繰延ヘッジ損益,Deferred gains or losses on hedges,Deferred gains or losses on hedges
122,jppfs_cor:SubscriptionRightsToPreferredSharesLIQ,新優先出資引受権、資産流動化業,Subscription rights to preferred shares,Subscription rights to preferred shares-LIQ
123,jppfs_cor:NetAssets,純資産,Net assets,Net assets
124,jppfs_cor:LiabilitiesAndNetAssets,負債純資産,Liabilities and net assets,Liabilities and net assets
125,nan,,,
126,nan,,,
127,名前空間プレフィックス:要素名,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
128,jppfs_cor:StatementOfIncomeAbstract,損益計算書 [タイトル項目],Statement of income,Statement of income [abstract]
129,jppfs_cor:StatementOfIncomeTable,損益計算書 [表],Statement of income,Statement of income [table]
130,jppfs_cor:StatementOfIncomeLineItems,損益計算書 [表示項目],Statement of income,Statement of income [line items]
131,jppfs_cor:OperatingRevenue1Abstract,営業収益 [タイトル項目],Operating revenue,Operating revenue-1 [abstract]
132,jppfs_cor:FinancialRevenue,金融収益,Financial revenue,Financial revenue
133,jppfs_cor:NetSalesAbstract,売上高 [タイトル項目],Net sales,Net sales [abstract]
134,jppfs_cor:RealEstateSalesRevOA,不動産売上高、営業活動による収益,Real estate sales,Real estate sales-RevOA
135,jppfs_cor:RentIncomeOfRealEstateRevOA,不動産賃貸収入、営業活動による収益,Rent income of real estate,Rent income of real estate-RevOA
136,jppfs_cor:NetSales,売上高,Net sales,Net sales
137,jppfs_cor:OtherOperatingRevenue1RevOA,その他の営業収益、営業活動による収益,Other operating revenue,Other operating revenue-1-RevOA
138,jppfs_cor:OperatingRevenue1,営業収益,Operating revenue,Operating revenue-1
139,jppfs_cor:OperatingExpensesAbstract,営業費用 [タイトル項目],Operating expenses,Operating expenses [abstract]
140,jppfs_cor:FinancialExpenses,金融費用,Financial expenses,Financial expenses
141,jppfs_cor:CostOfSalesAbstract,売上原価 [タイトル項目],Cost of sales,Cost of sales [abstract]
142,jppfs_cor:CostOfSalesRealEstateCOSExpOA,不動産売上原価、営業活動による費用・売上原価,Cost of sales - real estate,Cost of sales-real estate-COSExpOA
143,jppfs_cor:CostOfRealEstateRentCOSExpOA,不動産賃貸原価、営業活動による費用・売上原価,Cost of real estate rent,Cost of real estate rent-COSExpOA
144,jppfs_cor:CostOfSales,売上原価,Cost of sales,Cost of sales
145,jppfs_cor:SellingGeneralAndAdministrativeExpenses,販売費及び一般管理費,"Selling, general and administrative expenses","Selling, general and administrative expenses"
146,jppfs_cor:OperatingExpenses,営業費用,Operating expenses,Operating expenses
147,jppfs_cor:OperatingIncome,営業利益又は営業損失（△）,Operating profit (loss),Operating profit (loss)
148,jppfs_cor:NonOperatingIncomeAbstract,営業外収益 [タイトル項目],Non-operating income,Non-operating income [abstract]
149,jppfs_cor:InterestIncomeNOI,受取利息、営業外収益,Interest income,Interest income-NOI
150,jppfs_cor:DividendsIncomeNOI,受取配当金、営業外収益,Dividend income,Dividend income-NOI
151,jppfs_cor:NonOperatingIncome,営業外収益,Non-operating income,Non-operating income
152,jppfs_cor:NonOperatingExpensesAbstract,営業外費用 [タイトル項目],Non-operating expenses,Non-operating expenses [abstract]
153,jppfs_cor:InterestExpensesNOE,支払利息、営業外費用,Interest expenses,Interest expenses-NOE
154,jppfs_cor:NonOperatingExpenses,営業外費用,Non-operating expenses,Non-operating expenses
155,jppfs_cor:OrdinaryIncome,経常利益又は経常損失（△）,Ordinary profit (loss),Ordinary profit (loss)
156,jppfs_cor:ExtraordinaryIncomeAbstract,特別利益 [タイトル項目],Extraordinary income,Extraordinary income [abstract]
157,jppfs_cor:ExtraordinaryIncome,特別利益,Extraordinary income,Extraordinary income
158,jppfs_cor:ExtraordinaryLossAbstract,特別損失 [タイトル項目],Extraordinary losses,Extraordinary losses [abstract]
159,jppfs_cor:ExtraordinaryLoss,特別損失,Extraordinary losses,Extraordinary losses
160,jppfs_cor:IncomeBeforeIncomeTaxes,税引前当期純利益又は税引前当期純損失（△）,Profit (loss) before income taxes,Profit (loss) before income taxes
161,jppfs_cor:IncomeTaxesCurrent,法人税、住民税及び事業税,Income taxes - current,Income taxes-current
162,jppfs_cor:IncomeTaxesDeferred,法人税等調整額,Income taxes - deferred,Income taxes-deferred
163,jppfs_cor:IncomeTaxes,法人税等,Income taxes,Income taxes
164,jppfs_cor:ProfitLoss,当期純利益又は当期純損失（△）（平成26年3月28日財規等改正後）,Profit (loss),Profit (loss) (after amendment dated 2014-03-28)
165,jppfs_cor:RetainedEarningsBroughtForwardPriorLIQ,前期繰越利益又は前期繰越損失（△）、資産流動化業,Retained earnings (deficit) brought forward,Retained earnings (deficit) brought forward-LIQ
