タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jpigp_cor:NotesAssociatesCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－関連会社、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Associates,"Notes - Associates, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesInterestsInOtherEntitiesCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－他の企業への関与、要約四半期財務諸表（IFRS） [目次項目],Notes - Interests in other entities,"Notes - Interests in other entities, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesInterestsInOtherEntitiesCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－他の企業への関与、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Interests in other entities,"Notes - Interests in other entities, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesBusinessCombinationsCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－企業結合、要約四半期財務諸表（IFRS） [目次項目],Notes - Business combinations,"Notes - Business combinations, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesBusinessCombinationsCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－企業結合、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Business combinations,"Notes - Business combinations, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesStructuredEntitiesCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－ストラクチャード・エンティティ、要約四半期財務諸表（IFRS） [目次項目],Notes - Structured entities,"Notes - Structured entities, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesStructuredEntitiesCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－ストラクチャード・エンティティ、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Structured entities,"Notes - Structured entities, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesCashAndCashEquivalentsCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－現金及び現金同等物、要約四半期財務諸表（IFRS） [目次項目],Notes - Cash and cash equivalents,"Notes - Cash and cash equivalents, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesCashAndCashEquivalentsCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－現金及び現金同等物、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Cash and cash equivalents,"Notes - Cash and cash equivalents, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesTradeAndOtherReceivablesCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－営業債権及びその他の債権、要約四半期財務諸表（IFRS） [目次項目],Notes - Trade and other receivables,"Notes - Trade and other receivables, Condensed quarterly financial statements (IFRS) [heading]"
