タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jpigp_cor:NotesRevenueCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－売上収益、要約中間連結財務諸表（IFRS） [目次項目],Notes - Revenue,"Notes - Revenue, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesRevenueCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－売上収益、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Revenue,"Notes - Revenue, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesRevenue2CondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－収益、要約中間連結財務諸表（IFRS） [目次項目],Notes - Revenue,"Notes - Revenue 2, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesRevenue2CondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－収益、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Revenue,"Notes - Revenue 2, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesNetSalesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－売上高、要約中間連結財務諸表（IFRS） [目次項目],Notes - Net sales,"Notes - Net sales, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesNetSalesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－売上高、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Net sales,"Notes - Net sales, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesConstructionContractsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－工事契約、要約中間連結財務諸表（IFRS） [目次項目],Notes - Construction contracts,"Notes - Construction contracts, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesConstructionContractsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－工事契約、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Construction contracts,"Notes - Construction contracts, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOperatingExpensesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－営業費用、要約中間連結財務諸表（IFRS） [目次項目],Notes - Operating expenses,"Notes - Operating expenses, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOperatingExpensesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－営業費用、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Operating expenses,"Notes - Operating expenses, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesCostOfSalesAndSellingGeneralAndAdministrativeExpensesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－売上原価、販売費及び一般管理費、要約中間連結財務諸表（IFRS） [目次項目],"Notes - Cost of sales and selling, general and administrative expenses","Notes - Cost of sales and selling, general and administrative expenses, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesCostOfSalesAndSellingGeneralAndAdministrativeExpensesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－売上原価、販売費及び一般管理費、要約中間連結財務諸表（IFRS） [テキストブロック],"Notes - Cost of sales and selling, general and administrative expenses","Notes - Cost of sales and selling, general and administrative expenses, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesCostOfSalesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－売上原価、要約中間連結財務諸表（IFRS） [目次項目],Notes - Cost of sales,"Notes - Cost of sales, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesCostOfSalesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－売上原価、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Cost of sales,"Notes - Cost of sales, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesSellingGeneralAndAdministrativeExpensesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－販売費及び一般管理費、要約中間連結財務諸表（IFRS） [目次項目],"Notes - Selling, general and administrative expenses","Notes - Selling, general and administrative expenses, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesSellingGeneralAndAdministrativeExpensesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－販売費及び一般管理費、要約中間連結財務諸表（IFRS） [テキストブロック],"Notes - Selling, general and administrative expenses","Notes - Selling, general and administrative expenses, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesSellingExpensesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－販売費、要約中間連結財務諸表（IFRS） [目次項目],Notes - Selling expenses,"Notes - Selling expenses, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesSellingExpensesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－販売費、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Selling expenses,"Notes - Selling expenses, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesGeneralAndAdministrativeExpensesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－一般管理費、要約中間連結財務諸表（IFRS） [目次項目],Notes - General and administrative expenses,"Notes - General and administrative expenses, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesGeneralAndAdministrativeExpensesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－一般管理費、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - General and administrative expenses,"Notes - General and administrative expenses, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesResearchAndDevelopmentExpensesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－研究開発費、要約中間連結財務諸表（IFRS） [目次項目],Notes - Research and development expenses,"Notes - Research and development expenses, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesResearchAndDevelopmentExpensesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－研究開発費、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Research and development expenses,"Notes - Research and development expenses, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherIncomeAndOtherExpensesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の収益及びその他の費用、要約中間連結財務諸表（IFRS） [目次項目],Notes - Other income and other expenses,"Notes - Other income and other expenses, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherIncomeAndOtherExpensesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の収益及びその他の費用、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Other income and other expenses,"Notes - Other income and other expenses, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherOperatingIncomeAndExpensesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の営業収益及び営業費用、要約中間連結財務諸表（IFRS） [目次項目],Notes - Other operating income and expenses,"Notes - Other operating income and expenses, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherOperatingIncomeAndExpensesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の営業収益及び営業費用、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Other operating income and expenses,"Notes - Other operating income and expenses, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherIncomeCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の収益、要約中間連結財務諸表（IFRS） [目次項目],Notes - Other income,"Notes - Other income, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherIncomeCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の収益、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Other income,"Notes - Other income, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherOperatingIncomeCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の営業収益、要約中間連結財務諸表（IFRS） [目次項目],Notes - Other operating income,"Notes - Other operating income, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherOperatingIncomeCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の営業収益、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Other operating income,"Notes - Other operating income, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherExpensesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の費用、要約中間連結財務諸表（IFRS） [目次項目],Notes - Other expenses,"Notes - Other expenses, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherExpensesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の費用、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Other expenses,"Notes - Other expenses, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherOperatingExpensesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の営業費用、要約中間連結財務諸表（IFRS） [目次項目],Notes - Other operating expenses,"Notes - Other operating expenses, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherOperatingExpensesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の営業費用、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Other operating expenses,"Notes - Other operating expenses, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesExceptionalItemsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－個別開示項目、要約中間連結財務諸表（IFRS） [目次項目],Notes - Exceptional items,"Notes - Exceptional items, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesExceptionalItemsCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－個別開示項目、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Exceptional items,"Notes - Exceptional items, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesPersonnelExpensesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSHeading,注記事項－人件費、要約中間連結財務諸表（IFRS） [目次項目],Notes - Personnel expenses,"Notes - Personnel expenses, Condensed semi-annual consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesPersonnelExpensesCondensedSemiAnnualConsolidatedFinancialStatementsIFRSTextBlock,注記事項－人件費、要約中間連結財務諸表（IFRS） [テキストブロック],Notes - Personnel expenses,"Notes - Personnel expenses, Condensed semi-annual consolidated financial statements (IFRS) [text block]"
