,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
189,jppfs_cor:ShipRentalFeeExpensesShipping,借船料、海運業費用,Ship rental fee,Ship rental fee-expenses-shipping
190,jppfs_cor:OtherShippingBusinessExpensesWAT,その他海運業費用、海運業,Other shipping business expenses,Other shipping business expenses-WAT
191,jppfs_cor:ShippingBusinessExpensesWAT,海運業費用、海運業,Shipping business expenses,Shipping business expenses-WAT
192,jppfs_cor:CostOfSalesAbstract,売上原価 [タイトル項目],Cost of sales,Cost of sales [abstract]
193,jppfs_cor:ShippingBusinessExpensesAndOtherOperatingExpensesWAT,海運業費用及びその他の営業費用、海運業,Shipping business expenses and other operating expenses,Shipping business expenses and other operating expenses-WAT
194,jppfs_cor:ShippingBusinessIncomeWAT,海運業利益又は海運業損失（△）、海運業,Shipping business profit (loss),Shipping business profit (loss) - WAT
195,jppfs_cor:OtherBusinessRevenueAbstractWAT,その他事業収益、海運業 [タイトル項目],Other business revenue,Other business revenue-WAT [abstract]
196,jppfs_cor:BuildingBusinessRevenueOtherBusinessRevenueWAT,ビル業収益、その他事業収益、海運業,Building business revenue,Building business revenue-other business revenue-WAT
197,jppfs_cor:RevenueOfWarehouseWorkOtherBusinessRevenueWAT,倉庫業収益、その他事業収益、海運業,Revenue of warehouse work,Revenue of warehouse work-other business revenue-WAT
198,jppfs_cor:OtherBusinessRevenueWAT,その他事業収益、海運業,Other business revenue,Other business revenue-WAT
199,jppfs_cor:OtherBusinessExpensesAbstractWAT,その他事業費用、海運業 [タイトル項目],Other business expenses,Other business expenses-WAT [abstract]
200,jppfs_cor:BuildingBusinessExpensesOtherBusinessRevenueWAT,ビル業費用、その他事業費用、海運業,Building business expenses,Building business expenses-other business revenue-WAT
201,jppfs_cor:WarehouseBusinessExpensesOtherBusinessRevenueWAT,倉庫業費用、その他事業費用、海運業,Warehouse business expenses,Warehouse business expenses-other business revenue-WAT
202,jppfs_cor:OtherBusinessExpensesWAT,その他事業費用、海運業,Other business expenses,Other business expenses-WAT
203,jppfs_cor:OtherBusinessIncomeWAT,その他事業利益又はその他事業損失（△）、海運業,Other business profit (loss),Other business profit (loss) - WAT
204,jppfs_cor:OperatingGrossProfitWAT,営業総利益又は営業総損失（△）、海運業,Operating gross profit (loss),Operating gross profit (loss)-WAT
205,jppfs_cor:GeneralAndAdministrativeExpensesAbstractWAT,一般管理費、海運業 [タイトル項目],General and administrative expenses,General and administrative expenses-WAT [abstract]
206,jppfs_cor:DirectorsCompensationsSGA,役員報酬、販売費及び一般管理費,Remuneration for directors (and other officers),Remuneration for directors (and other officers) - SGA
207,jppfs_cor:EmployeeSalariesSGAWAT,従業員給与、一般管理費、海運業,Employee salaries,Employee salaries-SGA-WAT
208,jppfs_cor:ProvisionForRetirementBenefitsSGAWAT,退職給付引当金繰入額、一般管理費、海運業,Provision for retirement benefits,Provision for retirement benefits-SGA-WAT
209,jppfs_cor:WelfareExpensesSGA,福利厚生費、販売費及び一般管理費,Welfare expenses,Welfare expenses-SGA
210,jppfs_cor:TravelingAndTransportationExpensesWAT,旅費・交通費、海運業,Traveling and transportation expenses,Traveling and transportation expenses-WAT
211,jppfs_cor:CommunicationExpensesSGA,通信費、販売費及び一般管理費,Communication expenses,Communication expenses-SGA
