,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
165,jppfs_cor:ReservesUnderTheSpecialLawsAbstract1,特別法上の準備金 [タイトル項目],Reserves under special laws,Reserves under special laws-1 [abstract]
166,jppfs_cor:SpecialReserveForExpansionOfRailwayTransportCapacityRWY,特定都市鉄道整備準備金、鉄道事業,Special reserve for expansion of railway transport capacity,Special reserve for expansion of railway transport capacity-RWY
167,jppfs_cor:ReservesUnderTheSpecialLaws1,特別法上の準備金,Reserves under special laws,Reserves under special laws-1
168,jppfs_cor:Liabilities,負債,Liabilities,Liabilities
169,jppfs_cor:NetAssetsAbstract,純資産の部 [タイトル項目],Net assets,Net assets [abstract]
170,jppfs_cor:ShareholdersEquityAbstract,株主資本 [タイトル項目],Shareholders' equity,Shareholders' equity [abstract]
171,jppfs_cor:CapitalStock,資本金,Capital stock,Capital stock
172,jppfs_cor:DepositForSubscriptionsToShares,新株式申込証拠金,Deposit for subscriptions to shares,Deposit for subscriptions to shares
173,jppfs_cor:CapitalSurplusAbstract,資本剰余金 [タイトル項目],Capital surplus,Capital surplus [abstract]
174,jppfs_cor:LegalCapitalSurplus,資本準備金,Legal capital surplus,Legal capital surplus
175,jppfs_cor:OtherCapitalSurplus,その他資本剰余金,Other capital surplus,Other capital surplus
176,jppfs_cor:CapitalSurplus,資本剰余金,Capital surplus,Capital surplus
177,jppfs_cor:RetainedEarningsAbstract,利益剰余金 [タイトル項目],Retained earnings,Retained earnings [abstract]
178,jppfs_cor:LegalRetainedEarnings,利益準備金,Legal retained earnings,Legal retained earnings
179,jppfs_cor:OtherRetainedEarningsAbstract,その他利益剰余金 [タイトル項目],Other retained earnings,Other retained earnings [abstract]
180,jppfs_cor:RetainedEarningsBroughtForward,繰越利益剰余金,Retained earnings brought forward,Retained earnings brought forward
181,jppfs_cor:RetainedEarnings,利益剰余金,Retained earnings,Retained earnings
182,jppfs_cor:TreasuryStock,自己株式,Treasury shares,Treasury shares
183,jppfs_cor:DepositForSubscriptionsToTreasuryStock,自己株式申込証拠金,Deposit for subscriptions to treasury shares,Deposit for subscriptions to treasury shares
184,jppfs_cor:ShareholdersEquity,株主資本,Shareholders' equity,Shareholders' equity
185,jppfs_cor:ValuationAndTranslationAdjustmentsAbstract,評価・換算差額等 [タイトル項目],Valuation and translation adjustments,Valuation and translation adjustments [abstract]
186,jppfs_cor:ValuationDifferenceOnAvailableForSaleSecurities,その他有価証券評価差額金,Valuation difference on available-for-sale securities,Valuation difference on available-for-sale securities
187,jppfs_cor:DeferredGainsOrLossesOnHedges,繰延ヘッジ損益,Deferred gains or losses on hedges,Deferred gains or losses on hedges
188,jppfs_cor:RevaluationReserveForLand,土地再評価差額金,Revaluation reserve for land,Revaluation reserve for land
189,jppfs_cor:ValuationAndTranslationAdjustments,評価・換算差額等,Valuation and translation adjustments,Valuation and translation adjustments
190,jppfs_cor:SubscriptionRightsToShares,新株予約権,Share acquisition rights,Share acquisition rights
191,jppfs_cor:NonControllingInterests,非支配株主持分,Non-controlling interests,Non-controlling interests
192,jppfs_cor:NetAssets,純資産,Net assets,Net assets
193,jppfs_cor:LiabilitiesAndNetAssets,負債純資産,Liabilities and net assets,Liabilities and net assets
194,nan,,,
195,nan,,,
196,名前空間プレフィックス:要素名,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
197,jppfs_cor:StatementOfIncomeAbstract,損益計算書 [タイトル項目],Statement of income,Statement of income [abstract]
198,jppfs_cor:StatementOfIncomeTable,損益計算書 [表],Statement of income,Statement of income [table]
199,jppfs_cor:StatementOfIncomeLineItems,損益計算書 [表示項目],Statement of income,Statement of income [line items]
200,jppfs_cor:OperatingIncomeRailwayAbstractRWY,鉄道事業営業利益、鉄道事業 [タイトル項目],Operating profit - railway,Operating profit - railway - RWY [abstract]
201,jppfs_cor:OperatingRevenueRailwayAbstractRWY,営業収益、鉄道事業営業利益、鉄道事業 [タイトル項目],Operating revenue,Operating revenue-railway-RWY [abstract]
202,jppfs_cor:PassengerTransportationORRWY,旅客運輸収入、営業収益、鉄道事業,Passenger transportation,Passenger transportation-OR-RWY
203,jppfs_cor:FreightTransportationORRWY,貨物運輸収入、営業収益、鉄道事業,Freight transportation,Freight transportation-OR-RWY
204,jppfs_cor:TrackageRevenueORRWY,鉄道線路使用料収入、営業収益、鉄道事業,Trackage revenue,Trackage revenue-OR-RWY
205,jppfs_cor:TransferOfRailroadLineORRWY,鉄道線路譲渡収入、営業収益、鉄道事業,Sale of railroad line,Sale of railroad line - OR - RWY
206,jppfs_cor:MiscellaneousIncomeOfTransportationORRWY,運輸雑収、営業収益、鉄道事業,Miscellaneous income of transportation,Miscellaneous income of transportation-OR-RWY
207,jppfs_cor:OperatingRevenueRailwayRWY,鉄道事業営業収益、鉄道事業,Operating revenue - railway,Operating revenue-railway-RWY
208,jppfs_cor:OperatingExpensesRailwayAbstractRWY,営業費、鉄道事業営業利益、鉄道事業 [タイトル項目],Operating expenses,Operating expenses-railway-RWY [abstract]
