,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
18,jppfs_cor:CorporateBondsCAFND,社債券、流動資産、投資信託,Corporate bonds,Corporate bonds-CA-FND
19,jppfs_cor:SecurityInvestmentTrustBeneficiarySecuritiesCAFND,投資信託受益証券、流動資産、投資信託,Security investment trust beneficiary securities,Security investment trust beneficiary securities-CA-FND
20,jppfs_cor:InvestmentSecuritiesCAFND,投資証券、流動資産、投資信託,Investment securities,Investment securities-CA-FND
21,jppfs_cor:OtherSecuritiesCAFND,その他有価証券、流動資産、投資信託,Other securities,Other securities-CA-FND
22,jppfs_cor:ParentsTrustBeneficiarySecuritiesCAFND,親投資信託受益証券、流動資産、投資信託,Parents trust beneficiary securities,Parents trust beneficiary securities-CA-FND
23,jppfs_cor:CommercialPapersCAFND,コマーシャル・ペーパー、流動資産、投資信託,Commercial papers,Commercial papers-CA-FND
24,jppfs_cor:CommodityCAFND,商品、流動資産、投資信託,Commodity,Commodity-CA-FND
25,jppfs_cor:CallOptionCAFND,コール・オプション（買）、流動資産、投資信託,Call options,Call options-CA-FND
26,jppfs_cor:PutOptionCAFND,プット・オプション（買）、流動資産、投資信託,Put options,Put options-CA-FND
27,jppfs_cor:DerivativeEvaluationAccountCAFND,派生商品評価勘定、流動資産、投資信託,Derivative evaluation account,Derivative evaluation account-CA-FND
28,jppfs_cor:GensakiTransactionAccountCAFND,現先取引勘定、流動資産、投資信託,Gensaki transaction account,Gensaki transaction account-CA-FND
29,jppfs_cor:AccountsReceivableOther,未収入金,Accounts receivable - other,Accounts receivable-other
30,jppfs_cor:DepositsForMarginTransactionCAFND,信用取引預け金、流動資産、投資信託,Deposits for margin transaction,Deposits for margin transaction-CA-FND
31,jppfs_cor:AccruedDividendReceivableCAFND,未収配当金、流動資産、投資信託,Accrued dividend receivable,Accrued dividend receivable-CA-FND
32,jppfs_cor:AccruedInterest,未収利息,Accrued interest,Accrued interest
33,jppfs_cor:AdvancePaymentsCAFND,前払金、流動資産、投資信託,Advance payments,Advance payments-CA-FND
34,jppfs_cor:PrepaidExpenses,前払費用,Prepaid expenses,Prepaid expenses
35,jppfs_cor:OtherAccruedRevenueCAFND,その他未収収益、流動資産、投資信託,Other accrued revenue,Other accrued revenue-CA-FND
36,jppfs_cor:GuaranteeDepositsCAFND,差入保証金、流動資産、投資信託,Guarantee deposits,Guarantee deposits-CA-FND
37,jppfs_cor:CustomersMarginCAFND,差入委託証拠金、流動資産、投資信託,Customers' margin,Customers' margin-CA-FND
38,jppfs_cor:OtherFinancialInstrumentsCAFND,その他の金融商品、流動資産、投資信託,Other financial instruments,Other financial instruments-CA-FND
39,jppfs_cor:PreferredSecuritiesCAFND,優先出資証券、流動資産、投資信託,Preferred equity securities,Preferred equity securities-CA-FND
40,jppfs_cor:PreferredSecuritiesOnDeedsCAFND,優先出資引受権証書、流動資産、投資信託,Preferred equity securities on deeds,Preferred equity securities on deeds-CA-FND
41,jppfs_cor:NotionalPrincipalReceivableAssetsCAFND,想定元本受取資産、流動資産、投資信託,Notional principal receivable assets,Notional principal receivable assets-CA-FND
42,jppfs_cor:CorrespondingAccountOfNotionalPrincipalPayableLiabilityCAFND,想定元本支払負債見合、流動資産、投資信託,Corresponding account of notional principal payable liability,Corresponding account of notional principal payable liability-CA-FND
43,jppfs_cor:SecuritiesLoanedCAFND,貸付有価証券、流動資産、投資信託,Securities loaned,Securities loaned-CA-FND
44,jppfs_cor:BorrowingTradeSecuritiesCAFND,借入取引有価証券、流動資産、投資信託,Borrowing trade securities,Borrowing trade securities-CA-FND
45,jppfs_cor:PurchaseAccountOfFuturesMarketsCAFND,先物取引買勘定、流動資産、投資信託,Purchase account of futures markets,Purchase account of futures markets-CA-FND
46,jppfs_cor:AccountsReceivableForeignExchangeCAFND,為替未収入金、流動資産、投資信託,Accounts receivable - foreign exchange,Accounts receivable-foreign exchange-CA-FND
47,jppfs_cor:PurchaseForeignExchangeCAFND,買為替、流動資産、投資信託,Purchase - foreign exchange,Purchase-foreign exchange-CA-FND
48,jppfs_cor:AccountsReceivableFuturesMarketsCAFND,先物取引未収入金、流動資産、投資信託,Accounts receivable - futures markets,Accounts receivable-futures markets-CA-FND
49,jppfs_cor:SecuritiesReceivedAsCustomersDepositsForCashCollateralReceivedCAFND,受入担保金代用有価証券、流動資産、投資信託,Securities received as customers' deposits for cash collateral received,Securities received as customers' deposits for cash collateral received-CA-FND
50,jppfs_cor:ForeignInvestmentAccountsCAFND,外国投資勘定、流動資産、投資信託,Foreign investment accounts,Foreign investment accounts-CA-FND
51,jppfs_cor:AcquiredBeneficiarySecuritiesCAFND,買取受益証券、流動資産、投資信託,Acquired beneficiary securities,Acquired beneficiary securities-CA-FND
52,jppfs_cor:CurrentAssets,流動資産,Current assets,Current assets
53,jppfs_cor:NoncurrentAssetsAbstract,固定資産 [タイトル項目],Non-current assets,Non-current assets [abstract]
54,jppfs_cor:PropertyPlantAndEquipmentAbstract,有形固定資産 [タイトル項目],"Property, plant and equipment","Property, plant and equipment [abstract]"
55,jppfs_cor:PropertyPlantAndEquipment,有形固定資産,"Property, plant and equipment","Property, plant and equipment"
56,jppfs_cor:IntangibleAssetsAbstract,無形固定資産 [タイトル項目],Intangible assets,Intangible assets [abstract]
57,jppfs_cor:IntangibleAssets,無形固定資産,Intangible assets,Intangible assets
58,jppfs_cor:InvestmentsAndOtherAssetsAbstract,投資その他の資産 [タイトル項目],Investments and other assets,Investments and other assets [abstract]
59,jppfs_cor:GovernmentBondsNCAFND,国債証券、固定資産、投資信託,Government bonds,Government bonds-NCA-FND
60,jppfs_cor:MunicipalBondsNCAFND,地方債証券、固定資産、投資信託,Municipal bonds,Municipal bonds-NCA-FND
61,jppfs_cor:SpecialBondsNCAFND,特殊債券、固定資産、投資信託,Special bonds,Special bonds-NCA-FND
62,jppfs_cor:CorporateBondsNCAFND,社債券、固定資産、投資信託,Corporate bonds,Corporate bonds-NCA-FND
63,jppfs_cor:InvestmentsInCapitalSilentPartnershipAndOtherNCAFND,出資金（匿名組合出資持分等）、固定資産、投資信託,Investments in capital,Investments in capital (silent partnership and other)-NCA-FND
64,jppfs_cor:InvestmentsAndOtherAssets,投資その他の資産,Investments and other assets,Investments and other assets
65,jppfs_cor:NoncurrentAssets,固定資産,Non-current assets,Non-current assets
66,jppfs_cor:DeferredAssetsAbstract,繰延資産 [タイトル項目],Deferred assets,Deferred assets [abstract]
67,jppfs_cor:DeferredAssets,繰延資産,Deferred assets,Deferred assets
68,jppfs_cor:Assets,資産,Assets,Assets
69,jppfs_cor:LiabilitiesAbstract,負債の部 [タイトル項目],Liabilities,Liabilities [abstract]
70,jppfs_cor:CurrentLiabilitiesAbstract,流動負債 [タイトル項目],Current liabilities,Current liabilities [abstract]
71,jppfs_cor:SalesSecuritiesForMarginTradingCLFND,信用売証券、流動負債、投資信託,Sales securities for margin trading,Sales securities for margin trading-CL-FND
72,jppfs_cor:SalesOfSecuritiesBorrowedCLFND,売却借入有価証券、流動負債、投資信託,Sales of securities borrowed,Sales of securities borrowed-CL-FND
73,jppfs_cor:BondsSoldCLFND,売付債券、流動負債、投資信託,Bonds sold,Bonds sold-CL-FND
74,jppfs_cor:CallOptionCLFND,コール・オプション（売）、流動負債、投資信託,Call options,Call options-CL-FND
75,jppfs_cor:PutOptionCLFND,プット・オプション（売）、流動負債、投資信託,Put options,Put options-CL-FND
76,jppfs_cor:DerivativeEvaluationAccountCLFND,派生商品評価勘定、流動負債、投資信託,Derivative evaluation account,Derivative evaluation account-CL-FND
77,jppfs_cor:GensakiTransactionAccountCLFND,現先取引勘定、流動負債、投資信託,Gensaki transaction account,Gensaki transaction account-CL-FND
78,jppfs_cor:ShortTermLoansPayable,短期借入金,Short-term loans payable,Short-term loans payable
79,jppfs_cor:AdvancesReceived,前受金,Advances received,Advances received
80,jppfs_cor:UnearnedRevenue,前受収益,Unearned revenue,Unearned revenue
81,jppfs_cor:AccountsPayableOther,未払金,Accounts payable - other,Accounts payable-other
82,jppfs_cor:UnpaidStockSubscriptionCLFND,未払株式払込金、流動負債、投資信託,Unpaid share subscription,Unpaid share subscription-CL-FND
83,jppfs_cor:UnpaidDividendsCLFND,未払収益分配金、流動負債、投資信託,Unpaid dividends,Unpaid dividends-CL-FND
84,jppfs_cor:RedemptionPayableCLFND,未払解約金、流動負債、投資信託,Redemption payable,Redemption payable-CL-FND
85,jppfs_cor:TrusteeFeePayableCLFND,未払受託者報酬、流動負債、投資信託,Trustee fee payable,Trustee fee payable-CL-FND
86,jppfs_cor:InvestmentTrustManagementFeePayableCLFND,未払委託者報酬、流動負債、投資信託,Investment trust management fee payable,Investment trust management fee payable-CL-FND
87,jppfs_cor:AccruedInterestExpensesCLFND,未払利息、流動負債、投資信託,Accrued interest expenses,Accrued interest expenses-CL-FND
88,jppfs_cor:CashCollateralReceivedCLFND,受入担保金、流動負債、投資信託,Cash collateral received,Cash collateral received-CL-FND
89,jppfs_cor:OtherAccruedExpensesCLFND,その他未払費用、流動負債、投資信託,Other accrued expenses,Other accrued expenses-CL-FND
90,jppfs_cor:CorrespondingAccountOfNotionalPrincipalReceivableAssetsCLFND,想定元本受取資産見合、流動負債、投資信託,Corresponding account of notional principal receivable assets,Corresponding account of notional principal receivable assets-CL-FND
91,jppfs_cor:NotionalPrincipalPayableLiabilityCLFND,想定元本支払負債、流動負債、投資信託,Notional principal payable liability,Notional principal payable liability-CL-FND
92,jppfs_cor:SecuritiesOfLoanTradeCLFND,貸付取引有価証券、流動負債、投資信託,Securities of loan trade,Securities of loan trade-CL-FND
93,jppfs_cor:SecuritiesBorrowedCLFND,借入有価証券、流動負債、投資信託,Securities borrowed,Securities borrowed-CL-FND
94,jppfs_cor:SalesForeignExchangeCLFND,売為替、流動負債、投資信託,Sales - foreign exchange,Sales-foreign exchange-CL-FND
95,jppfs_cor:AccountsPayableForeignExchangeCLFND,為替未払金、流動負債、投資信託,Accounts payable - foreign exchange,Accounts payable-foreign exchange-CL-FND
96,jppfs_cor:AccountsPayableFuturesMarketsCLFND,先物取引未払金、流動負債、投資信託,Accounts payable - futures markets,Accounts payable-futures markets-CL-FND
97,jppfs_cor:SalesAccountOfFuturesMarketsCLFND,先物取引売勘定、流動負債、投資信託,Sales account of futures markets,Sales account of futures markets-CL-FND
98,jppfs_cor:SecuritiesReceivedAsCustomersDepositsForGuaranteeDepositsCLFND,差入保証金代用有価証券、流動負債、投資信託,Securities received as customers' deposits for guarantee deposits,Securities received as customers' deposits for guarantee deposits-CL-FND
99,jppfs_cor:SecuritiesReceivedAsCustomersDepositsForCustomersMarginCLFND,差入委託証拠金代用有価証券、流動負債、投資信託,Securities received as customers' deposits for customers' margin,Securities received as customers' deposits for customers' margin-CL-FND
100,jppfs_cor:CurrentLiabilities,流動負債,Current liabilities,Current liabilities
101,jppfs_cor:NoncurrentLiabilitiesAbstract,固定負債 [タイトル項目],Non-current liabilities,Non-current liabilities [abstract]
102,jppfs_cor:NoncurrentLiabilities,固定負債,Non-current liabilities,Non-current liabilities
103,jppfs_cor:Liabilities,負債,Liabilities,Liabilities
104,jppfs_cor:NetAssetsAbstract,純資産の部 [タイトル項目],Net assets,Net assets [abstract]
105,jppfs_cor:PrincipalAndOtherAbstractFND,元本等、投資信託 [タイトル項目],Principal and other,Principal and other-FND [abstract]
106,jppfs_cor:PrincipalFND,元本、投資信託,Principal,Principal-FND
107,jppfs_cor:ReserveForPrincipalFND,元本調整引当額、投資信託,Reserve for principal,Reserve for principal-FND
108,jppfs_cor:SurplusAbstractFND,剰余金、投資信託 [タイトル項目],Surplus,Surplus-FND [abstract]
109,jppfs_cor:SurplusDeficitFND,剰余金又は欠損金（△）、投資信託,Surplus (deficit),Surplus (deficit)-FND
110,jppfs_cor:ReserveForDistributionFND,（分配準備積立金）、投資信託,Reserve for distribution,Reserve for distribution-FND
111,jppfs_cor:ReserveForStockPriceFluctuationFND,（株価変動準備金）、投資信託,Reserve for stock price fluctuation,Reserve for stock price fluctuation-FND
