,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
189,jppfs_cor:OtherTangibleAssetsNotCurrentOrInvestmentsAbstract,その他の有形固定資産で流動資産または投資たる資産に属しないもの、有形固定資産 [タイトル項目],Other tangible assets - not current or investments,Other tangible assets-not current or investments [abstract]
190,jppfs_cor:Aircraft,航空機,Aircraft,Aircraft
191,jppfs_cor:AccumulatedDepreciationAircraft,減価償却累計額、航空機,Accumulated depreciation,Accumulated depreciation-aircraft
192,jppfs_cor:AircraftNet,航空機（純額）,"Aircraft, net","Aircraft, net"
193,jppfs_cor:MountainForests,山林,Mountain forests,Mountain forests
194,jppfs_cor:AssetsForRent,貸与資産,Assets for rent,Assets for rent
195,jppfs_cor:AccumulatedDepreciationAssetsForRent,減価償却累計額、貸与資産,Accumulated depreciation,Accumulated depreciation-assets for rent
196,jppfs_cor:AssetsForRentNet,貸与資産（純額）,"Assets for rent, net","Assets for rent, net"
197,jppfs_cor:RealEstateForRent,賃貸不動産,Real estate for rent,Real estate for rent
198,jppfs_cor:AccumulatedDepreciationRealEstateForRent,減価償却累計額、賃貸不動産,Accumulated depreciation,Accumulated depreciation-real estate for rent
199,jppfs_cor:RealEstateForRentNet,賃貸不動産（純額）,"Real estate for rent, net","Real estate for rent, net"
200,jppfs_cor:TreesPPE,立木、有形固定資産,Trees,Trees-PPE
201,jppfs_cor:OtherFacilitiesPPE,その他の設備、有形固定資産,Other facilities,Other facilities-PPE
202,jppfs_cor:GolfCourses,コース勘定,Golf courses,Golf courses
203,jppfs_cor:DocksAndBuildingBerthsVES,ドック船台、造船業,Docks and building berths,Docks and building berths-VES
